,id,quiz_id,user_id,submitted_at,created_at,updated_at,score,accuracy,speed,final_score,negative_score,correct_answers,incorrect_answers,started_at,ended_at,duration,better_than,total_questions,mistakes_corrected,initial_mistake_count,response_map
count,14.0,14.0,14.0,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14,14,14.0,14.0,14.0,14.0,14.0,14.0
mean,312368.4285714286,31.5,0.0,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,60.285714285714285,4.5,95.07142857142857,54.42857142857143,5.857142857142857,15.071428571428571,5.857142857142857,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,0.0,160.0,55.5,2.857142857142857,8.714285714285714,6.5
min,195808.0,6.0,0.0,1970-01-01 00:00:00,1970-01-01 00:00:00,1970-01-01 00:00:00,12.0,0.0,78.0,5.0,0.0,3.0,0.0,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,18.0,20.0,0.0,0.0,0.0
25%,316613.25,18.0,0.0,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,36.0,1.25,91.25,24.75,1.0,9.0,1.0,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,0.0,55.25,23.0,0.0,3.0,3.25
50%,324964.0,24.5,0.0,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,46.0,4.5,100.0,37.5,3.0,11.5,3.0,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,0.0,133.5,48.0,0.0,8.0,6.5
75%,332307.5,51.0,0.0,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,88.0,7.75,100.0,88.0,8.5,22.0,8.5,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,0.0,246.75,97.25,3.75,13.5,9.75
max,336497.0,58.0,0.0,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,116.0,10.0,100.0,115.0,20.0,29.0,20.0,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,0.0,395.0,100.0,12.0,20.0,13.0
std,38889.139814278555,20.34604478667877,0.0,,,,34.67525957182767,3.5680203517874207,7.216053531635458,38.14287772152386,6.948792289723033,8.668814892956917,6.948792289723033,,,0.0,126.35359420780546,35.015930440520705,4.45243481975602,6.46206172658864,4.183300132670378
